神社名稱,住所,URL,緯度,経度,電話番号
白山神社（はくさんじんじゃ）,福井県福井市日光（境町）２７−１−２,http://www.jinja-fukui.jp/detail/index.php?ID=20170111_170512,36.074373,136.204497,-
天満神社（てんまんじんじゃ）,福井県福井市西堀町８−３,http://www.jinja-fukui.jp/detail/index.php?ID=20170111_170320,36.081777,136.190203,-
鹿島神社（かしまじんじゃ）,福井県福井市西別所町２５−１,http://www.jinja-fukui.jp/detail/index.php?ID=20170111_170209,36.029388,136.064290,-
春日神社（かすがじんじゃ）,福井県福井市西二ツ屋町１０−２,http://www.jinja-fukui.jp/detail/index.php?ID=20170111_165827,36.135328,136.081375,-
日吉神社（ひえじんじゃ）,福井県福井市西袋町３０−１,http://www.jinja-fukui.jp/detail/index.php?ID=20170111_165654,35.990080,136.239591,-
春日神社（かすがじんじゃ）,福井県福井市西畑町２−３２,http://www.jinja-fukui.jp/detail/index.php?ID=20170111_165448,36.133710,136.089685,-
稲荷神社（いなりじんじゃ）,福井県福井市西中野町４−２８,http://www.jinja-fukui.jp/detail/index.php?ID=20170111_165225,36.146046,136.153826,-
白山神社（はくさんじんじゃ）,福井県福井市西谷町大谷５−１０,http://www.jinja-fukui.jp/detail/index.php?ID=20170111_165005,36.041314,136.203420,-
神明神社（しんめいじんじゃ）,福井県福井市西新町２６−２４,http://www.jinja-fukui.jp/detail/index.php?ID=20170111_164329,35.992081,136.289078,-
白山神社（はくさんじんじゃ）,福井県福井市西下野町１８−２４,http://www.jinja-fukui.jp/detail/index.php?ID=20170111_164204,36.064999,136.167311,-
春日神社（かすがじんじゃ）,福井県福井市西木田１−８−１０,http://www.jinja-fukui.jp/detail/index.php?ID=20170110_173235,36.053249,136.217075,-
神明社（しんめいしゃ）,福井県福井市西方２−７１３,http://www.jinja-fukui.jp/detail/index.php?ID=20170110_172039,36.052552,136.236876,-
白山神社（はくさんじんじゃ）,福井県福井市西大味町３８−２６,http://www.jinja-fukui.jp/detail/index.php?ID=20170110_171907,35.986339,136.258312,-
川上神社（かわかみじんじゃ）,福井県福井市西荒井町３９−１,http://www.jinja-fukui.jp/detail/index.php?ID=20170110_171752,36.100918,136.126199,-
諏訪神社（すわじんじゃ）,福井県福井市波寄町１７−５７,http://www.jinja-fukui.jp/detail/index.php?ID=20170110_171310,36.153858,136.146878,-
大己貴神社（おおなむちじんじゃ）,福井県福井市南居町４５−５２,http://www.jinja-fukui.jp/detail/index.php?ID=20170110_171004,36.016481,136.173984,-
硲神社（はざまじんじゃ）,福井県福井市中山町４−３５,http://www.jinja-fukui.jp/detail/index.php?ID=20170110_170230,36.141048,136.118822,-
中村神社（なかむらじんじゃ）,福井県福井市中町１７−３３,http://www.jinja-fukui.jp/detail/index.php?ID=20170110_165624,36.102398,136.138478,-
白山神社（はくさんじんじゃ）,福井県福井市中藤新保町１１−２４,http://www.jinja-fukui.jp/detail/index.php?ID=20170110_165130,36.106969,136.249842,-
神明神社（しんめいじんじゃ）,福井県福井市中毘沙門町９−１８,http://www.jinja-fukui.jp/detail/index.php?ID=20170110_164718,36.020959,136.274070,-
熊野神社（くまのじんじゃ）,福井県福井市長橋町１７−１４,http://www.jinja-fukui.jp/detail/index.php?ID=20170110_164411,36.113466,136.050676,-
八幡神社（はちまんじんじゃ）,福井県福井市中野町２５−４,http://www.jinja-fukui.jp/detail/index.php?ID=20170110_164240,36.005342,136.186348,-
日吉神社（ひえじんじゃ）,福井県福井市中ノ郷町１８−１２,http://www.jinja-fukui.jp/detail/index.php?ID=20170110_164037,36.092165,136.276279,-
白山神社（はくさんじんじゃ）,福井県福井市中河内町６−５,http://www.jinja-fukui.jp/detail/index.php?ID=20170110_163822,36.094738,136.139881,-
白山神社（はくさんじんじゃ）,福井県福井市中角町５１−１,http://www.jinja-fukui.jp/detail/index.php?ID=20170110_163320,36.102268,136.204730,-
白山神社（はくさんじんじゃ）,福井県福井市中平町６−３２,http://www.jinja-fukui.jp/detail/index.php?ID=20170110_163146,36.093305,136.105892,-
日吉神社（ひよしじんじゃ）,福井県福井市中新田町３−２６,http://www.jinja-fukui.jp/detail/index.php?ID=20170110_163014,36.101642,136.260584,-
八幡神社（はちまんじんじゃ）,福井県福井市中荒井町１４−３,http://www.jinja-fukui.jp/detail/index.php?ID=20170110_162902,36.019814,136.202558,-
登知為神社（とちいじんじゃ）,福井県福井市栃泉町９６−１２,http://www.jinja-fukui.jp/detail/index.php?ID=20170110_162723,36.001994,136.274159,-
白山神社（はくさんじんじゃ）,福井県福井市栃泉町７３−１,http://www.jinja-fukui.jp/detail/index.php?ID=20170110_162326,36.009343,136.274253,-
白山神社（はくさんじんじゃ）,福井県福井市栃泉町２９−１１,http://www.jinja-fukui.jp/detail/index.php?ID=20170110_162042,36.012629,136.274481,-
熊野神社（くまのじんじゃ）,福井県福井市栃泉町１１−４０５,http://www.jinja-fukui.jp/detail/index.php?ID=20170110_151933,36.009954,136.265518,-
八幡神社（はちまんじんじゃ）,福井県福井市徳光町３４−４３,http://www.jinja-fukui.jp/detail/index.php?ID=20170110_151539,36.007754,136.245181,-
天満神社（てんまんじんじゃ）,福井県福井市徳尾町１０−１,http://www.jinja-fukui.jp/detail/index.php?ID=20170110_151114,35.982256,136.208465,-
熊野神社（くまのじんじゃ）,福井県福井市栂野町１０−５３,http://www.jinja-fukui.jp/detail/index.php?ID=20170106_171919,36.034950,136.252817,-
白山神社（はくさんじんじゃ）,福井県福井市灯明寺４−１４０６,http://www.jinja-fukui.jp/detail/index.php?ID=20170106_171447,36.096965,136.210356,-
燈豊神社（とうぶじんじゃ）,福井県福井市燈豊町２４−１６,http://www.jinja-fukui.jp/detail/index.php?ID=20170106_171244,36.123226,136.132467,-
白山神社（はくさんじんじゃ）,福井県福井市堂島町７−７３,http://www.jinja-fukui.jp/detail/index.php?ID=20170106_170837,36.095739,136.264251,-
白山神社（はくさんじんじゃ）,福井県福井市堂島町５−７,http://www.jinja-fukui.jp/detail/index.php?ID=20170106_170505,36.096669,136.261815,-
稲荷神社（いなりじんじゃ）,福井県福井市東郷二ケ町３６−８,http://www.jinja-fukui.jp/detail/index.php?ID=20170106_170254,36.016297,136.274645,-
白山神社（はくさんじんじゃ）,福井県福井市東郷二ケ町３０−５,http://www.jinja-fukui.jp/detail/index.php?ID=20170106_170032,36.018100,136.271044,-
白山神社（はくさんじんじゃ）,福井県福井市東郷中島町１５−１７,http://www.jinja-fukui.jp/detail/index.php?ID=20170106_165850,36.025185,136.257620,-
白山神社（はくさんじんじゃ）,福井県福井市天王町２０−１,http://www.jinja-fukui.jp/detail/index.php?ID=20170106_163804,36.027678,136.234442,-
